postcode,Lat_precise,Long_precise
200,-35.2777,149.119
200,-35.2776999,149.118527
800,-12.3932794,130.7766611
800,-12.3932794,130.7766611
801,-12.4634403,130.8456418
804,-12.4324801,130.8462536
810,-12.38,130.873
810,-12.37,130.867
810,-12.373333,130.881667
810,-12.3989,130.852
810,-12.386667,130.875278
810,-12.339444,130.893056
810,-12.3603,130.889
810,-12.391111,130.863208
810,-12.388889,130.879167
810,-12.3583,130.896
810,-12.369444,130.878056
810,-12.383,130.849
810,-12.380833,130.862222
810,-12.363333,130.880278
810,-12.3825,130.885
810,-12.3725,130.887778
811,-12.373333,130.881667
812,-12.3928,130.89
812,-12.3464,130.921
812,-12.3961,130.921
812,-12.401069,130.916889
812,-12.379444,130.8975
812,-12.393,130.904
812,-12.398333,130.88
812,-12.3958,130.895
812,-12.3889,130.898
812,-12.3794,130.898
812,-12.384444,130.893056
813,-19.4914,132.551
813,-19.4914,132.551
814,-12.383,130.849
815,-12.3718,130.869
820,-12.411487,130.85541
820,-12.4403118,130.860162
820,-12.4359223,130.8786503
820,-12.429722,130.911667
820,-12.4533181,130.8250685
820,-12.4634,130.846
820,-12.4154,130.883
820,-12.3964,130.904
820,-12.410833,130.822222
820,-12.4256,130.865
820,-12.425,130.836389
820,-12.458611,130.821667
820,-12.414524,130.8500471
820,-12.4324801,130.8462536
820,-12.4253,130.864
820,-12.448611,130.841667
820,-12.448611,130.836389
820,-12.427778,130.860556
820,-12.428889,130.869722
820,-12.437778,130.8475
821,-12.428889,130.869722
822,-12.7541536,131.1489404
822,-13.9812,136.461
822,-13.861,136.441
822,-14.4942,143.751
822,-11.7365,130.431
822,-12.555285,131.059105
822,-12.5382,130.683
822,-12.5233,131.207
822,-12.741,130.933
822,-12.4244,132.964
822,-13.4511,131.387
822,-12.8006,130.613
822,-12.6605,130.587
822,-13.1735,130.932
822,-12.5532,130.866
822,-12.4359,130.879
822,-12.7152,130.886
822,-14.4956,131.353
822,-11.3952,132.268
822,-12.8628,130.95
822,-13.0603,131.106
822,-12.4470329,130.7412751
822,-11.1764,132.531
822,-12.435556,130.748056
822,-13.7128168,130.6872034
822,-12.4581,130.84
822,-12.8947,131.14
822,-12.5382,130.683
822,-13.8005,131.344
822,-12.4794,130.914
822,-12.2535,136.837
822,-12.4796,130.96
822,-13.1239,131.007
822,-13.0245,130.942
822,-12.435556,130.748056
822,-12.8012,131.069
822,-12.5398,131.055
822,-12.0247,135.568
822,-12.1797,131.08
822,-11.614,133.397
822,-11.614,133.397
822,-12.3255,133.055
822,-12.2078463,131.0331717
822,-13.5833,131.46
822,-12.4447,130.912
822,-12.344,131.406
822,-12.6884,131.101
822,-12.6661,132.894
822,-12.3225,131.138
822,-12.9592,131.165
822,-12.5762506,131.2394314
822,-13.1292,130.803
822,-12.682903,131.081889
822,-12.6208,131.122
822,-12.4449,130.759
822,-12.0561356,134.2311504
822,-12.435556,130.748056
822,-13.7083,130.709
822,-13.295,131.197
822,-12.435556,130.748056
822,-12.5459321,131.0746794
822,0,0
822,-12.4059,130.955
822,-12.5647934,131.325275
822,-12.435556,130.748056
822,-12.0939,134.897
822,-11.8764,131.92
822,-13.7793,136.202
822,-11.1483,132.577
822,-12.9038,131.677
822,-12.2804,131.065
822,-13.7504,130.688
822,-14.1739,130.161
822,-14.335,129.883
822,-11.7608881,130.6330634
822,-14.2762,135.74
822,-13.9594,135.795
822,-12.3255375,133.0550335
822,-14.1457,130.083
822,-11.3903,130.421
822,-11.8763843,131.9196471
822,-12.5739,131.732
822,-11.403865,130.4174858
822,-14.335,129.883
822,-13.1205,130.657
822,-12.3283,134.928
822,-13.3093,131.147
822,-13.0246,130.968
822,-12.8131,130.617
822,-12.722222,130.949167
822,-13.2008,130.976
822,-14.201,129.641
822,-13.54,130.838
822,-12.4651,130.951
822,-11.6969,130.878
822,-13.0845,131.125
822,-12.7656,130.956
822,-13.86112,136.811614
822,-12.0595,131.094
822,-12.5483,131.017
822,-14.2408378,129.5207566
822,-12.435556,130.748056
822,-12.6619,131.335
822,-11.6579,133.378
822,-12.6733614,131.0477672
822,-12.2562,133.657
822,-12.5733,130.925
822,-12.428889,130.869722
822,-12.455,130.931
822,-13.10391,130.667007
822,-11.7609,130.633
828,-12.433889,130.922778
828,-12.425833,130.942222
829,-12.4587,130.961
829,-12.4587,130.961
830,-12.5164,130.971
830,-12.485085,130.973005
830,-12.475085,130.973005
830,-12.478,130.991
830,-12.492205,130.978915
830,-12.498405,130.964515
830,-12.51,130.976
830,-12.4784614,130.9851852
830,-12.4122468,130.9716227
830,-12.499539,130.981
830,-12.471085,130.990115
831,-12.4784614,130.9851852
832,-12.4987,130.993
832,-12.5148,130.981
832,-12.488685,130.991515
832,-12.4864,131.01
832,-12.5291024,130.9943034
832,-12.504825,130.991815
832,-12.501829,130.9884539
832,-12.5102,131.007
834,-12.5405,131.029
835,-12.5242,131.042
835,-12.4779013,131.0696413
835,-12.4779013,131.0696413
836,-12.542319,131.157189
836,-12.542319,131.157189
836,-12.5753,131.102
837,-12.8316015,131.1604226
837,-12.6342,131.074
838,-12.7174085,131.0192349
839,-12.5188645,131.0406631
840,-12.7575418,130.3928484
840,-12.7669665,130.5025384
840,-12.8042078,130.4484499
841,-12.8357379,130.9788775
845,-13.0785018,131.0625213
846,-13.1748284,131.1401349
847,-13.8380256,131.8004409
850,-14.5052,132.193
850,-14.4412,132.258
850,-14.4521139,132.2715145
850,-14.4662,132.285
850,-14.469,132.259
850,-14.4487,132.366
851,-14.4521139,132.2715145
852,-16.4713,134.287
852,-15.9785,129.003
852,-14.5208,132.865
852,-14.5582999,133.1141375
852,-14.5643,133.072
852,-14.5501,132.184
852,-16.3068,133.385
852,-15.3589,131.266
852,-17.1074,129.045
852,-13.6539,134.315
852,-17.9463,135.472
852,-17.4193,130.802
852,-16.253333,133.369167
